Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Experimental;Final Harvest;Start Av Weight BioCat;End Av Weight BioCat;BATCH.START.DATE;AGE
Aveiro;AQUACRIA;S44A;SE1309L;Sole;;22.27;Safiestela;;2014;September;12/11/2014;1/12/2014;121.88;128;132.51;-3.4;120.81;121.88;LE-2;ELITE;Skretting;175.6;0;0;14297;1742.51836;15309;1959.552;0;0;108.62716;108.40648;-1.66523;1.619829368;-105.4508987;27;0;0;1;-33.06;0.26;175.6;0;90-200;Feed Type 2015;;Unchecked;;0;0;19.92;0;0;4;0;1;170.45;1.101137314;0.58927159;395;SUB 140;SUB 140;;;100-150;100-150;8/9/2014;83
Aveiro;AQUACRIA;S44A;SE1309L;Sole;22.27;27.05;Safiestela;;2014;September;1/12/2014;5/1/2015;128;156;158.35;-1.48;132.71;128;LE-2;ELITE;Skretting;508.7;0;0;15309;1959.552;15259;2380.404;0;0;0;420.852;65.46989;1.208738464;7.769984034;50;0;0;0.67;0.73;0.57;293.5;0;90-200;Feed Type 2015;;Unchecked;;0;0;18.72;0;0;0;0;2;220.45;1.424146207;0.757431397;667;SUB 140;140-200;;;100-150;150-200;8/9/2014;117
Aveiro;AQUACRIA;S44A;SE1309L;Sole;27.05;31.3;Safiestela;;2014;September;5/1/2015;28/1/2015;156;181;173.03;4.61;172.46;156;LE-2;ELITE;Skretting;293.3;0;0;15259;2380.404;15218;2754.458;0;0;0;374.054;244.09228;0.784111385;1.201594741;42;0;0;0.5;0.51;0.65;264.4;0;90-200;Feed Type 2015;;Unchecked;;0;0;18.67;0;0;0;0;2;261.45;1.689013499;0.757528466;456;140-200;140-200;;;150-200;150-200;8/9/2014;140
Aveiro;AQUACRIA;N21A;SE1309L;Sole;;;Safiestela;;2014;September;8/9/2014;29/9/2014;49.29;59;57.32;2.93;56.03;49.29;LE-2;ELITE;Skretting;145.9;0;0;16938;834.87402;16912;997.808;0;0;0;162.93398;112.70534;0.895454711;1.294526062;26;0;0;0.76;0.78;0.86;130.9;0;;Feed Type 2015;;Unchecked;;0;0;20.43;0;0;0;0;1;26;0.153501004;0.895432619;431;SUB 140;SUB 140;;;0-50;50-100;8/9/2014;21
Aveiro;AQUACRIA;N21A;SE1309L;Sole;;;Safiestela;;2014;September;29/9/2014;28/10/2014;59;77;72.57;6.1;69.97;59;LE-2;ELITE;Skretting;240.5;0;0;16912;997.808;16859;1298.143;0;0;0;300.335;181.81623;0.800772471;1.3227642;53;0;0;0.73;0.76;0.92;231.1;0;;Feed Type 2015;;Unchecked;;0;0;20.85;0;0;0;0;2;79;0.466406896;0.834281299;602;SUB 140;SUB 140;;;50-100;50-100;8/9/2014;50
Aveiro;AQUACRIA;N21A;SE1309L;Sole;;12.85;Safiestela;;2014;September;21/11/2014;1/12/2014;34.87;42;37.67;11.49;35.07;34.87;GEMMA DIAMOND 1.8;GEMMA DIAMOND;Skretting;87.6;0;0;26944;939.53728;26918;1130.556;0;0;0;191.01872;4.47698;0.458593796;19.56676152;81;0;0;0.85;0.93;1.86;87.6;0;0-55;Feed Type 2015;;Unchecked;;0;0;19.91;0;0;1;0;1;3751.19;12.23113489;3.26567304;215;SUB 140;SUB 140;;;0-50;0-50;8/9/2014;83
Aveiro;AQUACRIA;N21A;SE1309L;Sole;12.85;15.85;Safiestela;;2014;September;1/12/2014;5/1/2015;42;52;56.26;-7.57;43.91;42;GEMMA DIAMOND 1.8;GEMMA DIAMOND;Skretting;417.4;0;0;26918;1130.556;26824;1394.848;0;0;0;264.292;47.28584;1.579313789;8.827166864;98;0;0;0.95;1.03;0.61;220.1;0;0-55;Feed Type 2015;;Unchecked;;0;0;18.72;0;0;0;0;2;3845.19;12.53763141;2.338179788;686;SUB 140;SUB 140;;;0-50;50-100;8/9/2014;117
Aveiro;AQUACRIA;N21A;SE1309L;Sole;15.85;18.52;Safiestela;;2014;September;5/1/2015;28/1/2015;52;61;60.03;1.62;59.81;52;LE-3;ELITE;Skretting;227.5;0;0;26824;1394.848;26713;1629.493;0;0;0;234.645;202.85653;0.969549745;1.121482261;113;0;0;0.66;0.66;0.69;188.3;0.018;0-55;Feed Type 2015;;Unchecked;;0;0;18.67;0;0;0;0;2;3956.19;12.89955816;1.885903052;456;SUB 140;SUB 140;;;50-100;50-100;8/9/2014;140
Aveiro;AQUACRIA;S41A;SE1309L;Sole;13.31;13.82;Safiestela;;2014;September;1/12/2014;1/12/2014;77.07;80;77.45;3.29;77.45;77.07;LE-2;ELITE;Skretting;6;0;0;15201;1171.54107;15201;1216.08;0;0;0;44.53893;5.77638;0.134713609;1.038712827;0;0;0;0;0;0;6;0;55-90;Feed Type 2015;;Unchecked;;0;0;19.54;0;0;1;0;1;682;3.973201282;1.645762667;19;SUB 140;SUB 140;;;50-100;50-100;8/9/2014;83
Aveiro;AQUACRIA;S41A;SE1309L;Sole;13.82;23.64;Safiestela;;2014;September;1/12/2014;5/1/2015;80;99;102.45;-3.37;81.28;80;LE-2;ELITE;Skretting;388;0;0;15201;1216.08;21013;2080.287;0;0;388.9944;475.2126;102.86224;0.816476667;3.772035297;20;0;0;1.25;3.66;0.61;339.1;0;55-90;Feed Type 2015;;Unchecked;;0;0;18.72;0;0;2;0;2;1200.39;5.109044796;1.035542608;686;SUB 140;SUB 140;;;50-100;50-100;8/9/2014;117
Aveiro;AQUACRIA;S41A;SE1309L;Sole;23.64;26.96;Safiestela;;2014;September;5/1/2015;28/1/2015;99;113;115.64;-2.28;114.87;99;LE-2;ELITE;Skretting;367;0;0;21013;2080.287;20993;2372.209;0;0;0;291.922;331.17891;1.257185138;1.108162352;20;0;0;0.72;0.71;0.58;313.6;0;55-90;Feed Type 2015;;Unchecked;;0;0;18.67;0;0;0;0;2;1220.39;5.194167877;1.070285057;456;SUB 140;SUB 140;;;50-100;100-150;8/9/2014;140
Aveiro;AQUACRIA;P1A;SE1312;Sole;;10.93;Safiestela;;2014;December;1/12/2014;5/1/2015;26.43;40;37.39;6.98;33.87;26.43;LE-2;ELITE;Skretting;104.4;0;0;54338;1436.15334;8198;327.92;0;1218.04;0;109.80666;59.55292;0.950762003;1.753062654;54;0;0;-4.01;-8.23;1.18;52.9;0;;Feed Type 2015;;Unchecked;;0;0;18.72;0;2;0;0;1;54;0.654387608;0.950646512;667;SUB 140;SUB 140;;;0-50;0-50;1/12/2014;34
