Region;Site;Unit;Batch;Species;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Given Biomass;Taken Biomass;Biomass Produced;Biomass Produced Before Sampl.;FCR Period;FCR Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Thermal Age;Experimental;Final Harvest
Aveiro;AQUACRIA;S11A;SS1106L;Sole;Stolt Sea Farm;;2011;June;16/6/2011;19/2/2013;3;117.03;3;3801;26.68;0;OF;Old feeding registrations;Old feedings;0;0;0;29730;89.19;27190;3182.05;46.69;0;0;3139.55;682.93;0;0;790;0;0;0;0;0.6;6529.82;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;1;1;790;2.66;2.08;0;;YES
Aveiro;AQUACRIA;S11B;SS1108L;Sole;Stolt Sea Farm;;2011;August;26/8/2011;19/2/2013;3;165.01;3;5400.33;3;0;OF;Old feeding registrations;Old feedings;0;0;0;41200;123.6;40696;6715.25;0;0;0;6591.65;-1.51;0;0;504;0;0;0;0;0.74;9589.3;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;1;504;1.22;1.45;0;;YES
Aveiro;AQUACRIA;S11C;SS1109L;Sole;Stolt Sea Farm;;2011;September;29/9/2011;19/2/2013;3;171.04;3;5601.33;10;0;OF;Old feeding registrations;Old feedings;0;0;0;21200;63.6;20569;3518.12;5.3;0;0;3459.82;147.39;0;0;101;0;0;0;0;0.79;9653.16;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;1;1;101;0.48;2.52;0;;YES
Aveiro;AQUACRIA;S12A;SS1112L;Sole;Stolt Sea Farm;;2011;December;19/12/2011;19/2/2013;3;77.01;3;2467;3;0;OF;Old feeding registrations;Old feedings;0;0;0;45600;136.8;42709;3289.02;0;0;0;3152.22;-8.67;0;0;2891;0;0;0;0;0.76;6381.96;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;1;2891;6.34;2.02;0;;YES
Aveiro;AQUACRIA;S12B;SS1204L;Sole;Stolt Sea Farm;;2012;April;1/4/2012;19/2/2013;3;78.44;3;2514.67;3;0;OF;Old feeding registrations;Old feedings;0;0;0;123095;369.29;119710;9390.05;0;0;0;9020.77;-10.16;0;0;3385;0;0;0;0;1.01;15077;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;1;3385;2.75;1.67;0;;
Aveiro;AQUACRIA;S12C;SE1211L;Sole;Safiestela;;2012;April;15/4/2012;19/2/2013;3;12.9;3;330;3;0;OF;Old feeding registrations;Old feedings;0;0;0;92000;276;91030;1174.29;0;0;0;898.29;-2.91;0;0;970;0;0;0;0;0.47;1310.38;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;1;970;1.05;1.46;0;;
Aveiro;AQUACRIA;S11A;SS1106L;Sole;Stolt Sea Farm;;2011;June;19/2/2013;15/3/2013;117.03;132.28;117.03;13.03;117.03;0;OF;Old feeding registrations;Old feedings;0;0;0;27190;3182.05;27151;3591.53;0;0;0;409.49;-4.56;0;0;73;0;0;0;0;0.51;1695.9;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;829;2.79;1.99;0;;YES
Aveiro;AQUACRIA;S11B;SS1108L;Sole;Stolt Sea Farm;;2011;August;19/2/2013;15/3/2013;165.01;182.39;165.01;10.53;165.01;0;OF;Old feeding registrations;Old feedings;0;0;0;40696;6715.25;40665;7416.89;0;0;0;701.64;-5.12;0;0;74;0;0;0;0;0.42;2392.6;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;535;1.3;1.43;0;;YES
Aveiro;AQUACRIA;S11C;SS1109L;Sole;Stolt Sea Farm;;2011;September;19/2/2013;15/3/2013;171.04;180.3;171.04;5.41;171.04;0;OF;Old feeding registrations;Old feedings;0;0;0;20569;3518.12;20568;3708.41;0;0;0;190.29;-0.17;0;0;8;0;0;0;0;0.22;2880.8;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;102;0.48;2.78;0;;YES
Aveiro;AQUACRIA;S12A;SS1112L;Sole;Stolt Sea Farm;;2011;December;19/2/2013;15/3/2013;77.01;91.64;77.01;19;77.01;0;OF;Old feeding registrations;Old feedings;0;0;0;42709;3289.02;42704;3913.39;0;0;0;624.37;-0.39;0;0;37;0;0;0;0;0.72;1952.1;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;2896;6.35;1.87;0;;YES
Aveiro;AQUACRIA;S12B;SS1204L;Sole;Stolt Sea Farm;;2012;April;19/2/2013;15/3/2013;78.44;88.2;78.44;12.44;78.44;0;OF;Old feeding registrations;Old feedings;0;0;0;119710;9390.05;119648;10552.95;0;0;0;1162.9;-4.86;0;0;172;0;0;0;0;0.49;5630.2;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;3447;2.8;1.69;0;;
Aveiro;AQUACRIA;S12C;SE1211L;Sole;Safiestela;;2012;April;19/2/2013;15/3/2013;12.9;19.1;12.9;48.06;12.9;0;OF;Old feeding registrations;Old feedings;0;0;0;91030;1174.29;90848;1735.2;0;0;0;560.91;-2.35;0;0;884;0;0;0;0;1.64;1339.9;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;1152;1.25;1.25;0;;
Aveiro;AQUACRIA;S11A;SS1106L;Sole;Stolt Sea Farm;;2011;June;15/3/2013;18/4/2013;132.28;126.71;132.28;-4.21;132.28;0;OF;Old feeding registrations;Old feedings;0;0;0;27151;3591.53;27143;3439.29;0;0;0;-152.24;-1.06;0;0;47;0;0;0;0;-0.13;2438.1;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;837;2.82;2.64;0;;YES
Aveiro;AQUACRIA;S11B;SS1108L;Sole;Stolt Sea Farm;;2011;August;15/3/2013;18/4/2013;182.39;196.32;182.39;7.64;182.39;0;OF;Old feeding registrations;Old feedings;0;0;0;40665;7416.89;40635;7977.46;0;0;0;560.57;-5.47;0;0;61;0;0;0;0;0.22;3708;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;565;1.37;1.69;0;;YES
Aveiro;AQUACRIA;S11C;SS1109L;Sole;Stolt Sea Farm;;2011;September;15/3/2013;18/4/2013;180.3;192.99;180.3;7.04;180.3;0;OF;Old feeding registrations;Old feedings;0;0;0;20568;3708.41;20553;3966.52;0;0;0;258.11;-2.7;0;0;16;0;0;0;0;0.2;4120;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;117;0.55;3.12;0;;YES
Aveiro;AQUACRIA;S12A;SS1112L;Sole;Stolt Sea Farm;;2011;December;15/3/2013;18/4/2013;91.64;102.47;91.64;11.82;91.64;0;OF;Old feeding registrations;Old feedings;0;0;0;42704;3913.39;42685;4373.93;0;0;0;460.54;-1.74;0;0;24;0;0;0;0;0.33;1582.8;1.6;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;2915;6.39;1.88;0;;YES
